Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Prob;Classified
1521;6334386.86817;489390.19442;239.05809;1521;50;30;19;30;36;2;0;95.574428;118.163261;144.987501;99;3
1522;6334390.16901;489388.88439;238.54266;1522;50;30;27;39;40;2;0;70.475725;93.402425;131.575381;99;3
1523;6334394.1754;489385.31383;240.37508;1523;70;30;30;36;40;2;0;64.514782;100.280435;131.575381;97;3
1524;6334377.84268;489401.09704;240.23423;1524;50;35;20;35;38;3;0;91.339022;102.835124;137.92849;99;3
1525;6334376.47893;489404.4951;247.87414;1525;20;30;20;23;28;2;0;91.339022;150.818857;183.307843;97;2
1526;6334372.13533;489406.68686;241.67031;1526;45;20;18;22;25;2;0;100.280435;157.180337;204.000827;76;2
2015;6334739.74921;489761.27132;251.0301;2015;20;15;10;18;25;3;0;171.81174;189.694566;204.000827;92;2
2016;6334740.06356;489754.62415;261.53902;2016;25;10;17;19;19;3;0;105.54009;180.282552;264.990677;72;2
2017;6334743.10447;489755.13963;249.80053;2017;20;10;22;22;22;3;0;84.02332;157.180337;230.337353;64;2
2018;6334737.69142;489768.17478;254.30521;2018;20;10;9;13;16;3;0;189.694566;258.474667;312.638997;77;2
2019;6334735.98398;489769.6082;252.75873;2019;30;10;10;14;16;3;0;171.81174;240.788355;312.638997;76;2
2020;6334736.01271;489772.64775;253.55531;2020;30;15;11;19;21;3;0;157.180337;180.282552;240.788355;79;2
2100;6333650.0093;488126.03309;208.8328;2100;70;30;20;27;30;4;5;91.339022;130.085145;171.81174;73;2
2101;6333650.45569;488129.17054;208.91818;2101;40;40;11;18;28;3;4;157.180337;189.694566;183.307843;89;2
2102;6333653.20016;488134.35766;214.37555;2102;30;30;21;23;26;3;4;87.506988;150.818857;196.572576;83;2
2103;6333650.7756;488135.98707;208.81739;2103;50;20;20;23;28;3;0;91.339022;150.818857;183.307843;94;2
2104;6333655.82334;488139.54059;209.29704;2104;45;30;25;40;42;3;0;75.244478;91.339022;125.82733;75;2
2105;6333651.95737;488120.47574;213.08541;2105;30;20;11;18;23;4;0;157.180337;189.694566;220.795134;84;2
2106;6333651.05691;488116.73679;218.901;2106;20;25;13;25;28;3;0;134.670485;139.622653;183.307843;77;2
2107;6333647.40813;488112.8303;212.24872;2107;25;20;10;14;18;3;0;171.81174;240.788355;279.108697;68;2
2108;6333646.6906;488109.09876;216.04188;2108;20;15;10;13;14;3;0;171.81174;258.474667;355.749381;59;2
1006aa;6710468.59033;622398.15511;71.22542;1006aa;17.4;17.5;17;20;23;2;12;422.160358962;687.246959765;883.180534272;2;1
1007aa;6710457.60844;622401.4813;70.14977;1007aa;13;11.5;11;13;15;2;4;628.721346601;1033.89866851;1331.02870457;22;1
2001aa;6710489.07563;622295.95268;65.8684;2001aa;22;16.5;5;7;8;3;1;1331.02870457;1882.84162869;2457.64675798;55;1
2002aa;6710485.05426;622296.35093;66.59572;2002aa;27.1;9;2;3;4;3;2;3262.37393899;4335.34351367;4871.82830101;50;1
1101c;6710467.36074;621981.78656;42.41103;1101c;14.2;6;5;7;8;3;2;1331.02870457;1882.84162869;2457.64675798;37;1
1102c;6710470.74759;621980.69922;42.26378;1102c;12.4;9.5;6;8;8;3;3;1116.43478964;1652.91957698;2457.64675798;36;1
