Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Prob;Classified
1008a;6779036.46324;475255.73572;220.03822;1008a;37.6;31;8;14;17;3;0;848.192395967;963.153421825;1179.55064697;55;1
1009a;6779034.35879;475246.08298;225.91874;1009a;22.2;13.5;8;12;15;3;0;848.192395967;1116.43478964;1331.02870457;46;1
1001;6779227.66928;477011.92269;207.47283;1001;84;10;2;12;18;4;80;3262.37393899;1116.43478964;1116.43478964;65;2
1002;6779231.31972;477017.7064;215.20625;1002;28.4;12;8;11;12;4;4;848.192395967;1213.97747824;1652.91957698;55;2
1003;6779229.24755;477018.36832;212.06813;1003;27;25.5;18;23;27;4;4;401.121739851;603.275427834;758.778264744;63;2
1004;6779231.86956;477024.03114;213.81732;1004;19.8;18;7;10;13;3;4;963.153421825;1331.02870457;1529.11539528;43;1
1005;6779231.99562;477026.4358;209.3539;1005;15.2;15;12;17;19;3;4;579.950002297;800.855502966;1059.96270676;30;1
1006;6779233.06803;477030.215;213.79799;1006;21.7;19;7;13;15;3;6;963.153421825;1033.89866851;1331.02870457;13;1
1007;6779233.09056;477033.96102;207.45632;1007;30.2;19;10;15;18;3;8;687.246959765;901.840874701;1116.43478964;10;1
1008;6779232.87428;477044.57479;211.77344;1008;22.3;28.5;7;12;15;2;6;963.153421825;1116.43478964;1331.02870457;3;1
1001a;6779229.5112;477009.18894;212.36667;1001a;50.8;10;11;16;20;4;10;628.721346601;848.192395967;1009.13783217;38;1
1002a;6779224.82203;477006.30329;210.52423;1002a;17.1;14.5;8;9;10;3;7;848.192395967;1474.09131453;1974.81044938;44;1
1003a;6779222.06993;476997.98396;216.03013;1003a;19.8;11;7;9;10;3;7;963.153421825;1474.09131453;1974.81044938;25;1
1004a;6779225.20221;476998.13848;207.26284;1004a;15.4;13;11;14;15;3;8;628.721346601;963.153421825;1331.02870457;30;1
1005a;6779224.31209;476994.52009;206.41162;1005a;20;24;10;14;16;3;18;687.246959765;963.153421825;1250.55598647;30;1
1006a;6779222.17228;476987.72252;211.5752;1006a;16.2;18.5;10;14;17;3;10;687.246959765;963.153421825;1179.55064697;5;1
1007a;6779218.62617;476989.56265;216.94891;1007a;22.3;9.5;12;13;14;3;8;579.950002297;1033.89866851;1422.99752526;16;1
1001;6779311.90637;476947.09781;207.97148;1001;89.5;13.5;7;16;26;4;13.5;963.153421825;848.192395967;786.29030512;83;2
1002;6779313.84046;476950.75665;210.83189;1002;22.2;26;8;17;22;3;18;848.192395967;800.855502966;921.349412422;56;2
1003;6779316.23801;476954.22884;210.92832;1003;56.7;22.5;13;21;23;3;20;538.681941733;656.590686203;883.180534272;50;1
1004;6779319.19592;476958.70283;211.18428;1004;35;31;16;22;23;3;24;445.828805463;628.721346601;883.180534272;72;2
1005;6779318.95704;476960.97576;216.00666;1005;22.2;25.5;10;14;20;3;20;687.246959765;963.153421825;1009.13783217;78;2
1006;6779322.82495;476964.64067;210.86858;1006;28.4;18;13;14;15;3;16;538.681941733;963.153421825;1331.02870457;58;2
1007;6779325.93181;476964.65285;212.25525;1007;42.7;20.5;15;20;21;3;20;472.65304483;687.246959765;963.153421825;66;2
1008;6779328.69587;476969.18318;211.23788;1008;47.9;29;16;20;22;3;29;445.828805463;687.246959765;921.349412422;94;2
1009;6779331.98851;476973.35867;216.31826;1009;34.2;22.5;15;24;26;3;22;472.65304483;579.950002297;786.29030512;90;2
1010;6779333.46205;476984.07642;228.85829;1010;17.5;34.5;20;29;32;3;20;365.356087362;487.45262517;647.010600715;69;2
1011;6779344.74558;476996.24009;218.12433;1011;27.2;17;10;13;15;3;14;687.246959765;1033.89866851;1331.02870457;31;1
1001a;6779311.25912;476946.48537;210.49971;1001a;95.8;17.8;14;17;19;4;18;503.309318392;800.855502966;1059.96270676;83;2
1002a;6779305.99927;476938.93253;220.76993;1002a;100;17.5;14;15;16;4;17.5;503.309318392;901.840874701;1250.55598647;81;2
1003a;6779289.89361;476932.40824;238.75244;1003a;100;9;12;15;16;4;9;579.950002297;901.840874701;1250.55598647;9;1
1004a;6779302.49502;476934.71485;212.61164;1004a;60;14;12;16;18;4;19;579.950002297;848.192395967;1116.43478964;24;1
1005a;6779301.15887;476934.54004;216.72044;1005a;37.6;23.5;12;16;19;3;23.5;579.950002297;848.192395967;1059.96270676;21;1
1006a;6779293.93032;476929.78281;209.09119;1006a;26.3;12.5;15;18;20;3;12.5;472.65304483;758.778264744;1009.13783217;28;1
1007a;6779293.49341;476927.44714;216.97732;1007a;40.7;13;13;15;16;3;16;538.681941733;901.840874701;1250.55598647;16;1
1008a;6779294.16643;476918.62148;214.36259;1008a;29.2;20;11;13;15;3;17;628.721346601;1033.89866851;1331.02870457;17;1
1001;6779449.67272;476920.69447;246.63833;1001;100;12;15;22;23;4;12;472.65304483;628.721346601;883.180534272;85;2
1002;6779448.72936;476926.5929;250.68007;1002;57.8;20.5;10;16;20;3;20.5;687.246959765;848.192395967;1009.13783217;84;2
1003;6779450.52974;476929.19749;253.029;1003;62.5;23;13;17;22;3;23;538.681941733;800.855502966;921.349412422;84;2
1004;6779451.43549;476932.48107;247.33577;1004;18.7;28.5;15;25;27;3;28.5;472.65304483;558.490610804;758.778264744;81;2
1005;6779452.55083;476934.44965;253.00758;1005;48.4;13.5;10;12;13;3;13.5;687.246959765;1116.43478964;1529.11539528;78;2
1006;6779454.18813;476940.03835;250.03425;1006;22.3;16.5;9;16;19;3;16.5;758.778264744;848.192395967;1059.96270676;73;2
1007;6779456.12035;476944.04291;248.37423;1007;19.5;7;7;9;11;3;7;963.153421825;1474.09131453;1799.23360989;79;2
1008;6779457.15761;476948.89456;250.03145;1008;22.6;16;8;13;14;3;16;848.192395967;1033.89866851;1422.99752526;78;2
1009;6779459.48288;476951.08643;249.41874;1009;42.4;19;16;17;18;3;19;445.828805463;800.855502966;1116.43478964;80;2
1010;6779465.65464;476957.64565;249.87363;1010;18.1;10.5;9;11;13;3;10.5;758.778264744;1213.97747824;1529.11539528;74;2
1011;6779471.34646;476966.69092;248.25677;1011;32.4;19;9;15;17;3;19;758.778264744;901.840874701;1179.55064697;66;2
1001a;6779452.15516;476926.38185;252.06563;1001a;97.3;20;18;19;20;4;20;401.121739851;721.130209492;1009.13783217;85;2
1002a;6779451.33483;476917.18612;245.40432;1002a;29.8;21;10;14;15;3;21;687.246959765;963.153421825;1331.02870457;82;2
1003a;6779447.10119;476911.78916;249.3325;1003a;84.1;15.5;13;15;17;3;15.5;538.681941733;901.840874701;1179.55064697;94;2
1004a;6779447.47995;476907.62253;255.15979;1004a;27.5;14.5;12;14;15;3;14.5;579.950002297;963.153421825;1331.02870457;95;2
1005a;6779445.23569;476904.25178;250.62534;1005a;27.3;17;8;15;18;3;17;848.192395967;901.840874701;1116.43478964;90;2
1006a;6779446.44909;476899.65941;250.68477;1006a;28.4;15;4;11;14;3;15;1652.91957698;1213.97747824;1422.99752526;85;2
1007a;6779447.94235;476888.6903;249.01847;1007a;13.3;18.5;15;18;21;3;18.5;472.65304483;758.778264744;963.153421825;60;2
1008a;6779450.37538;476881.09316;256.55566;1008a;18.5;22.5;11;13;13;3;22.5;628.721346601;1033.89866851;1529.11539528;55;2
1001a;6779200.71961;475313.24802;224.89985;1001a;99.1;38;9;20;30;3;2;758.778264744;687.246959765;687.246959765;91;2
1002a;6779202.13776;475306.53285;223.51998;1002a;22.4;33.5;10;14;17;3;21;687.246959765;963.153421825;1179.55064697;91;2
1003a;6779201.08837;475302.51909;224.79713;1003a;34.5;32.5;8;15;21;3;16;848.192395967;901.840874701;963.153421825;85;2
1004a;6779198.07962;475297.86873;228.14871;1004a;34;35.5;4;9;15;3;0;1652.91957698;1474.09131453;1331.02870457;83;2
1005a;6779199.53047;475295.36328;223.68004;1005a;34.8;22.5;7;12;15;3;0;963.153421825;1116.43478964;1331.02870457;61;2
1001;6779202.33855;475316.6812;224.24788;1001;100;80;23;43;58;3;0;323.370321396;342.898584636;376.455772617;85;2
1002;6779201.56751;475320.03732;224.1065;1002;68.5;80;17;36;50;3;0;422.160358962;401.121739851;429.734261842;96;2
1003;6779201.43106;475323.85388;223.58065;1003;44;41;15;23;30;3;0;472.65304483;603.275427834;687.246959765;92;2
1004;6779201.19304;475327.85152;223.7296;1004;31.4;34.5;26;36;40;3;0;291.073578346;401.121739851;526.301523563;81;2
1005;6779200.20103;475331.38802;223.35132;1005;100;33;22;27;27;4;0;336.09328078;520.340581482;758.778264744;79;2
1006;6779198.66978;475334.73935;223.49532;1006;100;23;22;29;32;4;0;336.09328078;487.45262517;647.010600715;78;2
1007;6779195.97821;475338.0498;223.41715;1007;100;22;25;30;34;4;0;300.977912881;472.65304483;611.507930964;81;2
1008;6779190.65922;475346.49533;223.59876;1008;26.7;19.5;18;19;25;4;0;401.121739851;721.130209492;816.003308726;82;2
1009;6779183.0862;475352.71583;223.59032;1009;69.5;20;20;28;37;4;0;365.356087362;503.309318392;565.45041345;87;2
1001;6779052.30891;475291.79018;220.16686;1001;69;48;13;20;25;3;0;538.681941733;687.246959765;816.003308726;64;2
1002;6779053.21827;475295.82039;220.19694;1002;24;44.5;9;15;19;3;0;758.778264744;901.840874701;1059.96270676;61;2
1003;6779054.40149;475299.65263;221.38989;1003;25.2;24;9;13;15;3;0;758.778264744;1033.89866851;1331.02870457;14;1
1004;6779053.45105;475301.7144;222.97411;1004;25.6;18;6;8;13;3;0;1116.43478964;1652.91957698;1529.11539528;17;1
1005;6779053.49339;475307.67468;225.26261;1005;26.3;28;8;12;13;3;0;848.192395967;1116.43478964;1529.11539528;3;1
1006;6779053.00454;475312.94821;221.77016;1006;19.8;30;7;8;12;3;0;963.153421825;1652.91957698;1652.91957698;7;1
1007;6779060.72888;475311.4873;227.09285;1007;21.5;24;7;10;13;3;0;963.153421825;1331.02870457;1529.11539528;9;1
2001a;6779002.98962;475330.47341;223.35629;2001a;79;39;15;27;35;3;2;472.65304483;520.340581482;595.278139078;87;2
2002a;6778999.20591;475332.59663;221.76148;2002a;21.8;27;12;19;23;3;2;579.950002297;721.130209492;883.180534272;95;2
2003a;6778994.02002;475330.34149;223.47398;2003a;38.6;24.5;10;19;20;3;2;687.246959765;721.130209492;1009.13783217;87;2
2004a;6778988.1861;475325.2382;217.89531;2004a;37;29.5;13;18;22;3;2;538.681941733;758.778264744;921.349412422;29;1
2005a;6778986.97445;475333.65428;224.4455;2005a;42.2;37.5;13;18;22;3;20;538.681941733;758.778264744;921.349412422;70;2
2006a;6778981.98466;475330.2278;219.27435;2006a;22.2;30;12;16;19;3;14;579.950002297;848.192395967;1059.96270676;17;1
2007a;6778979.98485;475330.371;221.35234;2007a;27.4;22;8;12;15;3;5;848.192395967;1116.43478964;1331.02870457;17;1
2008a;6778970.23045;475329.93149;226.34038;2008a;22.6;27.5;8;13;16;3;18;848.192395967;1033.89866851;1250.55598647;3;1
2001;6779006.14014;475330.71983;224.99524;2001;100;73;22;34;42;3;5;336.09328078;422.160358962;503.309318392;78;2
2002;6779010.83461;475330.2379;219.54769;2002;41.2;30;4;10;15;3;12;1652.91957698;1331.02870457;1331.02870457;65;2
2003;6779014.85649;475329.53538;219.53099;2003;41.1;25.5;10;15;17;3;10;687.246959765;901.840874701;1179.55064697;85;2
2004;6779021.43465;475326.28622;218.48785;2004;34.4;20.5;15;18;20;3;10;472.65304483;758.778264744;1009.13783217;62;2
2005;6779021.0782;475329.93252;223.17099;2005;39;22;8;14;16;3;9;848.192395967;963.153421825;1250.55598647;58;2
2006;6779025.78834;475329.14774;220.23629;2006;31.7;22;10;15;18;3;10;687.246959765;901.840874701;1116.43478964;49;2
2007;6779035.33322;475327.44529;221.38423;2007;34.7;22;9;15;17;3;7;758.778264744;901.840874701;1179.55064697;26;1
1000;6779138.09927;597434.60148;122.47608;1000;9.8;20;10;14;18;5;10;171.81174;240.788355;286.772766;29;1
1001;6779132.11812;597454.52888;122.66522;1001;19.7;40;13;19;24;5;6;134.670485;180.282552;212.048099;15;1
1002;6779135.69461;597430.80496;122.40775;1002;9.2;15;10;16;20;5;8.5;171.81174;212.048099;252.284458;8;1
1003;6779130.73008;597429.11919;122.22219;1003;13.6;24;18;27;29;5;6.5;100.280435;130.085145;177.361583;17;1
1004;6779130.81768;597423.40157;122.22754;1004;17.9;10;30;33;34;4;7;64.514782;108.408992;152.876983;38;2
1005;6779132.24956;597421.00514;121.93272;1005;26.2;20;10;27;35;4;22;171.81174;130.085145;148.819535;64;2
1010;6779133.93709;597403.06914;121.64048;1010;13.4;30;0;15;20;4;26;0;225.460219;252.284458;28;1
1011;6779133.24995;597399.57349;121.92286;1011;9.6;5;0;11;14;5;3;0;303.49437;355.749381;25;1
1012;6779129.29101;597396.96778;121.64484;1012;9.2;10;12;15;17;5;5;144.987501;225.460219;294.887662;52;2
1013;6779129.25058;597392.78175;121.75409;1013;16.8;10;22;16;18;5;13.5;84.02332;212.048099;279.108697;53;2
1014;6779120.45597;597375.93803;122.16587;1014;14.6;15;20;25;27;5;9;91.339022;139.622653;189.694566;8;1
1001;6788896.80014;482994.69563;332.3345;1001;100;36.5;28;42;51;4;36.5;273.387266675;350.027950581;422.160358962;89;2
1002;6788897.7729;482989.9822;328.98473;1002;100;27.5;26;34;42;4;27.5;291.073578346;422.160358962;503.309318392;71;2
1003;6788896.83265;482986.09667;328.986;1003;100;23.5;15;18;20;4;23.5;472.65304483;758.778264744;1009.13783217;80;2
1004;6788896.33986;482983.68013;333.17627;1004;100;14;10;12;17;4;14;687.246959765;1116.43478964;1179.55064697;75;2
1005;6788894.85441;482977.99564;331.25249;1005;46.8;14;14;16;22;3;14;503.309318392;848.192395967;921.349412422;40;2
1006;6788892.98582;482975.7566;325.6815;1006;13.8;15;10;12;13;3;15;687.246959765;1116.43478964;1529.11539528;51;2
1007;6788891.97583;482971.73759;332.22435;1007;15.4;14;6;10;12;3;14;1116.43478964;1331.02870457;1652.91957698;45;2
1008;6788888.81538;482965.40593;336.70314;1008;55.1;10;12;14;16;3;10;579.950002297;963.153421825;1250.55598647;50;2
1001a;6788897.64473;482995.72783;328.6157;1001a;100;61;21;36;45;4;61;350.027950581;401.121739851;472.65304483;89;2
1002a;6788896.40787;482999.63266;329.29985;1002a;100;47;27;44;50;4;47;281.90289822;336.09328078;429.734261842;68;2
1003a;6788897.46378;483004.35126;329.1421;1003a;100;48;37;57;63;5;55;217.460281122;269.35354647;350.027950581;55;2
1004a;6788898.55211;483007.84478;327.81337;1004a;100;42;32;40;43;5;51;244.64701021;365.356087362;492.615269475;68;2
1005a;6788900.55891;483011.43554;327.06648;1005a;100;29;31;39;42;4;25;251.136745541;373.609699475;503.309318392;76;2
1006a;6788897.99949;483015.47163;328.26663;1006a;100;18;15;16;17;4;18;472.65304483;848.192395967;1179.55064697;46;2
1007a;6788897.86286;483019.73006;328.06094;1007a;84.8;31.5;16;31;32;3;21;445.828805463;458.808276124;647.010600715;48;2
1008a;6788898.92998;483023.09925;327.66125;1008a;34.2;20;10;12;13;3;12;687.246959765;1116.43478964;1529.11539528;46;1
1009a;6788898.71543;483026.90437;327.66894;1009a;60.5;18;14;16;18;3;16;503.309318392;848.192395967;1116.43478964;56;2
1010a;6788899.36924;483037.03988;327.75813;1010a;100;26;20;25;29;4;21;365.356087362;558.490610804;709.446330276;61;2
1011a;6788899.98007;483047.47763;329.70238;1011a;100;22.5;19;21;24;4;20;382.297712225;656.590686203;848.192395967;49;1
2001;6788941.03172;482989.60684;335.61116;2001;100;28.5;20;30;35;4;28.5;365.356087362;472.65304483;595.278139078;69;2
2002;6788939.34213;482986.17148;330.46164;2002;100;33.5;17;33;36;4;33.5;422.160358962;433.635969387;579.950002297;64;2
2003;6788940.06792;482981.33918;326.73582;2003;96;17.5;10;12;14;3;17.5;687.246959765;1116.43478964;1422.99752526;44;2
2004;6788935.57079;482979.17839;330.16213;2004;10;13.5;10;15;16;3;13.5;687.246959765;901.840874701;1250.55598647;42;2
2005;6788931.88958;482975.45995;336.1179;2005;50.7;11;7;11;11;3;11;963.153421825;1213.97747824;1799.23360989;39;1
2006;6788933.41512;482972.46664;332.60363;2006;35.1;12.5;10;11;13;3;12.5;687.246959765;1213.97747824;1529.11539528;34;1
2007;6788932.40803;482969.30804;330.78632;2007;44.3;16;16;17;17;3;16;445.828805463;800.855502966;1179.55064697;40;1
2008;6788933.20833;482958.23492;330.58531;2008;67;19.5;22;24;24;3;19.5;336.09328078;579.950002297;848.192395967;19;1
2009;6788935.07073;482948.51723;330.76995;2009;36.2;12;10;13;16;3;12;687.246959765;1033.89866851;1250.55598647;23;1
2001a;6788942.64898;482990.66061;331.52664;2001a;100;23.5;18;19;19;4;23.5;401.121739851;721.130209492;1059.96270676;59;2
2002a;6788944.76008;482992.77403;328.67882;2002a;100;29.5;23;30;32;4;29.5;323.370321396;472.65304483;647.010600715;57;2
2003a;6788940.65009;483003.70759;339.02645;2003a;100;56;34;52;60;4;56;232.81278696;291.073578346;365.356087362;73;2
2004a;6788947.86948;483000.92037;330.62624;2004a;100;54.5;49;51;52;4;54.5;174.849244511;295.928644294;414.877760039;60;2
2005a;6788949.1394;483004.47377;331.03834;2005a;100;37;24;46;48;4;37;311.707608628;323.370321396;445.828805463;46;1
2006a;6788949.89722;483007.9935;331.27982;2006a;100;27.5;26;27;28;4;20;291.073578346;520.340581482;733.231370108;35;1
2007a;6788949.43481;483011.79091;331.67371;2007a;100;27;25;27;29;4;25;300.977912881;520.340581482;709.446330276;21;1
2008a;6788948.80271;483015.72317;331.93398;2008a;100;21;19;21;23;4;30;382.297712225;656.590686203;883.180534272;37;1
2009a;6788946.88398;483018.93225;334.05918;2009a;100;23;20;22;24;4;16;365.356087362;628.721346601;848.192395967;38;1
3001a;6788764.43147;482995.72598;320.42743;3001a;100;16;14;15;18;4;16;503.309318392;901.840874701;1116.43478964;65;2
3002a;6788759.14984;483000.1497;324.57831;3002a;100;19.5;19;19;22;4;25;382.297712225;721.130209492;921.349412422;70;2
3003a;6788761.86359;483004.13753;321.62353;3003a;100;27;17;28;36;4;35;422.160358962;503.309318392;579.950002297;66;2
3004a;6788760.15512;483008.11609;321.71152;3004a;54;34;14;19;26;4;34;503.309318392;721.130209492;786.29030512;62;2
3005a;6788759.65664;483011.03876;319.52991;3005a;46.9;23;17;24;29;4;23;422.160358962;579.950002297;709.446330276;49;2
3006a;6788759.61383;483014.54942;318.99203;3006a;79.3;20;15;23;26;4;20;472.65304483;603.275427834;786.29030512;33;1
3007a;6788757.3875;483017.93123;319.13229;3007a;42.1;11;12;13;13;3;11;579.950002297;1033.89866851;1529.11539528;43;1
3008a;6788755.01562;483021.20605;319.48114;3008a;28.6;15.5;11;13;14;3;15.5;628.721346601;1033.89866851;1422.99752526;41;1
3009a;6788752.36639;483024.99226;322.27398;3009a;27.9;15;12;13;13;3;15;579.950002297;1033.89866851;1529.11539528;35;1
3010a;6788749.26869;483034.2923;319.23994;3010a;9.3;7.5;8;13;17;3;7.5;848.192395967;1033.89866851;1179.55064697;43;1
1001;6788764.71153;482994.73985;319.24269;1001;100;21;23;23;23;4;21;323.370321396;603.275427834;883.180534272;65;2
1002;6788766.35281;482990.19488;321.01003;1002;57.2;18.5;15;24;28;4;18.5;472.65304483;579.950002297;733.231370108;70;2
1003;6788766.4489;482986.8722;322.79531;1003;48.7;24.5;19;24;28;4;24.5;382.297712225;579.950002297;733.231370108;65;2
1004;6788768.5785;482982.99476;319.75395;1004;43.6;21.5;18;27;34;4;21.5;401.121739851;520.340581482;611.507930964;68;2
1005;6788769.99923;482978.81748;325.65868;1005;28.9;16;14;19;23;3;16;503.309318392;721.130209492;883.180534272;65;2
1006;6788767.08582;482974.75918;323.81239;1006;68.7;9;8;18;18;3;9;848.192395967;758.778264744;1116.43478964;42;2
1007;6788769.91699;482974.23594;322.30725;1007;47.5;21;11;15;18;3;21;628.721346601;901.840874701;1116.43478964;59;2
1008;6788769.49508;482966.29553;322.68346;1008;40.2;21.5;13;20;22;3;21.5;538.681941733;687.246959765;921.349412422;57;2
1009;6788775.03438;482958.25195;319.04891;1009;21.2;12.5;10;12;12;3;12.5;687.246959765;1116.43478964;1652.91957698;59;2
10;7087284.43379;761905.76364;51.64648;10;35;30;11;30;39;3;26;157.180337;118.163261;134.670485;60;2
11;7087287.07811;761902.15094;51.9599;11;38;20;5;14;22;3;29;332.757176;240.788355;230.337353;63;2
12;7087288.00729;761898.72502;51.80119;12;35;20;19;30;38;3;24;95.574428;118.163261;137.92849;79;2
13;7087289.30147;761893.53635;51.78005;13;30;15;10;18;24;3;30;171.81174;189.694566;212.048099;84;2
14;7087289.32658;761890.36153;51.81419;14;20;20;2;13;18;3;20;815.593485;258.474667;279.108697;91;2
15;7087280.44555;761911.94376;53.46929;15;10;20;11;15;18;3;20;157.180337;225.460219;279.108697;74;2
16;7087282.26095;761916.04946;51.87718;16;20;18;18;28;32;3;18;100.280435;125.82733;161.75265;91;2
17;7087279.76242;761920.51764;56.61317;17;20;40;18;25;32;3;20;100.280435;139.622653;161.75265;93;2
18;7087276.21757;761923.07655;51.77446;18;49;15;18;27;33;3;21;100.280435;130.085145;157.180337;89;2
19;7087270.61139;761925.42621;55.8266;19;30;20;17;29;38;3;27;105.54009;121.863156;137.92849;86;2
2600;7114610.10384;703859.84463;332.18985;2600;100;20;17;22;22;5;20;105.54009;157.180337;230.337353;67;2
2601;7114604.96447;703864.68996;318.21621;2601;15;40;10;17;26;3;2;171.81174;200.213876;196.572576;26;1
2602;7114608.58908;703867.78934;320.04345;2602;11;20;14;24;39;3;7;125.82733;144.987501;134.670485;5;1
2603;7114611.56955;703869.71713;321.29284;2603;6;25;7;13;18;3;4;240.788355;258.474667;279.108697;3;1
2604;7114598.5757;703859.07125;322.0499;2604;100;40;43;50;52;5;40;48.295475;75.244478;103.71944;87;2
2605;7114596.17077;703857.49452;317.52509;2605;90;10;16;19;22;4;10;111.457201;180.282552;230.337353;80;2
2606;7114595.51122;703853.39602;319.23093;2606;0;5;5;5;5;3;5;332.757176;654.648049;976.538921;24;1
2607;7114595.97494;703848.71324;325.71631;2607;5;10;10;10;10;3;10;171.81174;332.757176;493.702612;11;1
2608;7114742.39652;703835.23334;325.39545;2608;100;70;19;48;72;5;65;95.574428;77.926902;77.926902;78;2
2609;7114742.83273;703831.31626;326.37517;2609;20;80;12;18;26;4;80;144.987501;189.694566;196.572576;87;2
2610;7114744.92365;703827.7261;325.48406;2610;50;70;20;30;39;3;80;91.339022;118.163261;134.670485;82;2
2612;7114745.70811;703824.32723;323.53331;2612;50;45;22;39;46;3;60;84.02332;93.402425;115.830719;81;2
2613;7114746.06266;703819.0762;322.52249;2613;100;70;28;57;59;4;70;68.346817;67.338387;92.702966;86;2
2614;7114741.27439;703835.87812;325.99819;2614;100;70;21;41;47;5;70;87.506988;89.376273;113.597433;74;2
2615;7114739.00794;703839.98454;322.41398;2615;100;60;23;46;58;4;70;80.84258;80.84258;94.113943;84;2
2616;7114738.63536;703844.13845;323.42691;2616;100;70;51;61;76;4;70;42.424232;63.635299;74.397397;93;2
2617;7114736.69775;703847.49447;323.65741;2617;100;70;40;57;80;4;70;51.102663;67.338387;71.220842;94;2
2618;7114735.14704;703850.49293;323.41155;2618;100;65;42;63;81;4;70;49.186646;61.960093;70.475725;96;2
2619;7114731.63607;703855.49355;323.89306;2619;0;65;27;53;63;4;70;70.475725;71.600431;87.506988;87;2
2300;7116271.81695;702254.37226;279.8466;2300;30;60;26;40;63;5;60;72.768395;91.339022;87.506988;97;3
2301;7116271.00997;702251.60331;278.20605;2301;100;40;33;35;37;4;11;59.637648;102.835124;141.362603;74;2
2302;7116269.28075;702247.80408;279.11695;2302;100;20;29;33;39;4;7;66.36473;108.408992;134.670485;79;2
2303;7116268.86811;702243.32537;279.46278;2303;10;40;19;28;32;3;3;95.574428;125.82733;161.75265;23;1
2304;7116275.54949;702257.40984;278.62634;2304;0;10;7;14;19;3;1;240.788355;240.788355;264.990677;96;3
2305;7116281.06033;702256.18328;290.1375;2305;95;50;11;34;55;5;55;157.180337;105.54009;98.654723;98;3
2306;7116275.7765;702264.2482;282.16246;2306;95;60;23;40;72;4;12;80.84258;91.339022;77.926902;99;3
2307;7116277.76647;702265.10629;279.35659;2307;100;55;24;51;73;4;60;77.926902;73.982161;77.008264;99;3
2308;7116279.53271;702268.62332;277.96148;2308;90;50;23;40;87;4;50;80.84258;91.339022;66.36473;100;3
2309;7116207.26874;702291.55363;282.20377;2309;20;20;15;22;30;4;4;118.163261;157.180337;171.81174;66;2
2310;7116205.02078;702290.1499;284.67467;2310;30;20;15;22;23;4;1;118.163261;157.180337;220.795134;53;2
2311;7116201.40169;702286.52107;283.50995;2311;20;15;13;13;13;4;1;134.670485;258.474667;382.278849;49;2
2312;7116197.44285;702284.08597;284.30347;2312;90;10;23;33;39;3;11;80.84258;108.408992;134.670485;38;1
2313;7116210.21509;702294.23416;284.21331;2313;20;25;16;19;21;5;5;111.457201;180.282552;240.788355;64;2
2314;7116212.30966;702296.49874;284.55594;2314;7;5;20;22;22;4;3;91.339022;157.180337;230.337353;60;2
2315;7116215.08647;702301.48484;283.58553;2315;50;10;17;22;23;4;0;105.54009;157.180337;220.795134;69;2
2316;7116219.32745;702304.46681;278.96211;2716;35;10;13;19;20;4;0;134.670485;180.282552;252.284458;59;2
2400;7116590.3081;702749.53971;280.29339;2400;90;30;26;29;30;5;30;72.768395;121.863156;171.81174;94;2
2401;7116592.3741;702747.20229;279.96255;2401;95;10;22;23;23;5;20;84.02332;150.818857;220.795134;93;2
2402;7116595.23596;702743.21107;280.21848;2402;100;20;24;25;25;4;20;77.926902;139.622653;204.000827;96;2
2403;7116597.05144;702742.49059;282.66962;2403;70;35;24;29;38;4;40;77.926902;121.863156;137.92849;90;2
2404;7116602.62907;702738.65459;279.14855;2404;65;20;19;20;23;4;30;95.574428;171.81174;220.795134;78;2
2405;7116604.02288;702735.42963;281.82698;2405;60;30;16;23;26;4;3;111.457201;150.818857;196.572576;64;2
2406;7116588.85606;702748.88282;278.3926;2406;90;30;22;34;34;5;40;84.02332;105.54009;152.876983;94;2
2407;7116586.5048;702754.30872;281.37418;2407;60;20;12;46;54;4;30;144.987501;80.84258;100.280435;91;2
2408;7116584.07862;702755.9149;279.38923;2408;50;15;18;25;25;4;20;100.280435;139.622653;204.000827;80;2
2409;7116581.24369;702759.08509;279.98968;2409;25;20;11;15;19;3;3;157.180337;225.460219;264.990677;60;2
2410;7116578.78572;702760.87767;280.13171;2410;15;15;8;10;12;3;5;212.048099;332.757176;413.229894;35;1
2411;7116610.28238;702774.26985;284.99976;2411;30;30;17;24;29;4;8;105.54009;144.987501;177.361583;72;2
2412;7116608.71284;702780.74385;282.99638;2412;25;10;19;23;24;4;3;95.574428;150.818857;212.048099;40;1
2413;7116607.36212;702782.17331;282.01555;2413;11;10;7;10;11;3;4;240.788355;332.757176;449.808402;29;1
2414;7116604.12926;702786.22435;282.03616;2414;16;10;8;12;13;3;2;212.048099;279.108697;382.278849;29;1
2415;7116615.70246;702774.36591;285.40607;2415;50;30;19;23;27;5;30;95.574428;150.818857;189.694566;87;2
2416;7116617.38411;702771.23434;281.05401;2416;50;15;12;15;16;3;20;144.987501;225.460219;312.638997;95;2
2417;7116620.80171;702767.29542;282.63375;2917;90;30;19;23;27;3;40;95.574428;150.818857;189.694566;94;2
2418;7116621.32527;702765.00925;281.10147;2918;30;20;27;30;32;3;30;70.475725;118.163261;161.75265;95;2
2500;7117157.01127;703855.48016;256.65375;2500;100;30;36;40;45;5;40;55.573369;91.339022;118.163261;33;1
2501;7117153.69549;703853.03036;256.97562;2501;100;30;27;45;53;4;20;70.475725;82.397609;101.967494;15;1
